,JLT,,,,,,,,,,,,C (Sem algortimos de seleção de features),,,,,,,,,,,,SFS,,,,,,,,,,
,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,AVG,,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,AVG,,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,AVG
Lista,"['area_se', 'smoothness_se', 'texture_worst', 'compactness_se', 'smoothness_worst']","['perimeter_worst', 'smoothness_se']","['perimeter_worst', 'fractal_dimension_mean', 'fractal_dimension_worst']","['area_se', 'smoothness_se', 'compactness_mean', 'fractal_dimension_se', 'fractal_dimension_worst']","['perimeter_worst', 'fractal_dimension_mean', 'texture_mean', 'smoothness_worst', 'fractal_dimension_se', 'compactness_worst']","['area_se', 'fractal_dimension_mean', 'texture_worst', 'fractal_dimension_worst']","['perimeter_worst', 'fractal_dimension_mean']","['perimeter_worst', 'fractal_dimension_mean', 'compactness_worst']","['area_se', 'texture_se', 'texture_worst']","['perimeter_worst', 'smoothness_se']",1.43,,--,--,--,--,--,--,,--,--,--,,,['perimeter_mean' 'area_mean' 'concave points_mean' 'symmetry_mean' 'radius_se' 'smoothness_se' 'compactness_se' 'concavity_se' 'concave points_se' 'symmetry_se' 'fractal_dimension_se' 'radius_worst' 'texture_worst' 'area_worst' 'compactness_worst' 'concavity_worst' 'symmetry_worst' 'fractal_dimension_worst'],['radius_mean' 'texture_mean' 'area_mean' 'smoothness_mean' 'compactness_mean' 'concavity_mean' 'concave points_mean' 'symmetry_mean' 'radius_se' 'texture_se' 'perimeter_se' 'area_se' 'smoothness_se' 'compactness_se' 'concavity_se' 'concave points_se' 'symmetry_se' 'fractal_dimension_se' 'radius_worst' 'perimeter_worst' 'area_worst' 'smoothness_worst' 'compactness_worst' 'concavity_worst' 'concave points_worst' 'symmetry_worst' 'fractal_dimension_worst'],['texture_mean' 'perimeter_mean' 'area_mean' 'smoothness_mean' 'compactness_mean' 'concave points_mean' 'radius_se' 'texture_se' 'smoothness_se' 'compactness_se' 'concavity_se' 'concave points_se' 'symmetry_se' 'fractal_dimension_se' 'radius_worst' 'texture_worst' 'area_worst' 'smoothness_worst' 'compactness_worst' 'concave points_worst' 'symmetry_worst' 'fractal_dimension_worst'],['radius_mean' 'perimeter_mean' 'smoothness_mean' 'compactness_mean' 'concave points_mean' 'smoothness_se' 'compactness_se' 'concavity_se' 'concave points_se' 'symmetry_se' 'fractal_dimension_se' 'radius_worst' 'area_worst' 'smoothness_worst' 'compactness_worst' 'symmetry_worst' 'fractal_dimension_worst'],['perimeter_mean' 'smoothness_se' 'concave points_se' 'fractal_dimension_se' 'radius_worst' 'texture_worst' 'area_worst' 'fractal_dimension_worst'],['radius_mean' 'perimeter_mean' 'concave points_mean' 'smoothness_se' 'concave points_se' 'symmetry_se' 'fractal_dimension_se' 'radius_worst' 'texture_worst' 'perimeter_worst' 'area_worst' 'concavity_worst'],['texture_mean' 'perimeter_mean' 'area_mean' 'compactness_mean' 'concave points_mean' 'symmetry_mean' 'radius_se' 'texture_se' 'smoothness_se' 'compactness_se' 'concavity_se' 'concave points_se' 'symmetry_se' 'fractal_dimension_se' 'radius_worst' 'texture_worst' 'area_worst' 'smoothness_worst' 'concavity_worst' 'fractal_dimension_worst'],['texture_mean' 'perimeter_mean' 'area_mean' 'compactness_mean' 'concavity_mean' 'concave points_mean' 'texture_se' 'area_se' 'smoothness_se' 'compactness_se' 'concavity_se' 'concave points_se' 'symmetry_se' 'fractal_dimension_se' 'radius_worst' 'texture_worst' 'area_worst' 'smoothness_worst' 'concavity_worst' 'symmetry_worst' 'fractal_dimension_worst'],['radius_mean' 'area_mean' 'smoothness_mean' 'concave points_mean' 'texture_se' 'smoothness_se' 'compactness_se' 'concavity_se' 'concave points_se' 'fractal_dimension_se' 'radius_worst' 'perimeter_worst' 'area_worst' 'concave points_worst' 'symmetry_worst' 'fractal_dimension_worst'],['area_mean' 'radius_worst' 'texture_worst' 'perimeter_worst' 'area_worst' 'smoothness_worst'],6.48
,Mínimo,2,Máximo,6,,,,,,,,,,,,,,,,,,,,,Mínimo,6,Máximo,27,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KNN,,,,,,,,,,,,KNN,,,,,,,,,,,,KNN,,,,,,,,,,
Acurácia Geral,92.23,91.73,95.24,87.72,89.97,93.98,95.74,92.73,92.98,92.23,92.455,,73.43,70.43,71.93,70.43,67.92,65.16,68.92,67.92,70.43,70.43,68.74428571,,87.72,92.48,89.47,87.97,93.48,91.98,90.23,91.23,89.47,87.22,90.125
Qtde Features,5,5,6,4,2,3,4,6,5,4,4.40,,32,32,32,32,32,32,32,32,32,32,32,,2,13,10,4,7,4,2,12,2,4,6.00
Lista,"['perimeter_worst', 'fractal_dimension_mean', 'texture_mean', 'texture_worst', 'smoothness_worst']","['perimeter_worst', 'fractal_dimension_mean', 'texture_worst', 'fractal_dimension_worst', 'symmetry_worst']","['perimeter_worst', 'smoothness_se', 'texture_mean', 'texture_worst', 'concave points_se', 'fractal_dimension_worst']","['area_worst', 'texture_se', 'compactness_worst', 'compactness_mean']","['area_worst', 'texture_se']","['perimeter_worst', 'fractal_dimension_mean', 'texture_mean']","['perimeter_worst', 'smoothness_se', 'texture_mean', 'concave points_se']","['perimeter_worst', 'fractal_dimension_mean', 'texture_mean', 'smoothness_worst', 'concave points_se', 'compactness_mean']","['perimeter_worst', 'fractal_dimension_mean', 'texture_mean', 'texture_worst', 'smoothness_worst']","['perimeter_worst', 'fractal_dimension_mean', 'texture_mean', 'compactness_se']",1.26,,--,--,--,--,--,--,--,--,--,--,,,['compactness_se' 'concave points_worst'],['concavity_mean' 'fractal_dimension_mean' 'smoothness_se' 'compactness_se' 'concavity_se' 'concave points_se' 'symmetry_se' 'fractal_dimension_se' 'radius_worst' 'texture_worst' 'perimeter_worst' 'smoothness_worst' 'fractal_dimension_worst'],['smoothness_mean' 'symmetry_mean' 'radius_se' 'smoothness_se' 'concavity_se' 'concave points_se' 'fractal_dimension_se' 'texture_worst' 'perimeter_worst' 'concave points_worst'],['smoothness_se' 'compactness_se' 'fractal_dimension_se' 'concave points_worst'],['radius_mean' 'texture_mean' 'perimeter_mean' 'concave points_mean' 'symmetry_se' 'texture_worst' 'perimeter_worst'],['area_mean' 'radius_se' 'area_worst' 'smoothness_worst'],['radius_worst' 'compactness_worst'],['texture_mean' 'compactness_mean' 'concave points_mean' 'fractal_dimension_mean' 'smoothness_se' 'concavity_se' 'concave points_se' 'symmetry_se' 'fractal_dimension_se' 'perimeter_worst' 'concave points_worst' 'fractal_dimension_worst'],['concave points_mean' 'concave points_worst'],['compactness_mean' 'texture_se' 'texture_worst' 'area_worst'],4.24
,Mínimo,2,Máximo,6,,,,,,,,,,,,,,,,,,,,,Mínimo,2,Máximo,13,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DecisionTree,,,,,,,,,,,,DecisionTree,,,,,,,,,,,,DecisionTree,,,,,,,,,,
Acurácia Geral,94.49,94.24,92.48,92.48,88.22,91.98,91.98,93.73,94.49,93.48,92.757,,89.22,93.48,93.98,92.48,89.97,89.72,91.23,88.72,92.48,92.98,91.08285714,,91.73,92.73,91.23,91.48,93.23,93.23,90.73,91.98,93.23,93.73,92.33
Qtde Features,6,4,5,8,4,4,4,7,5,4,5.10,,32,32,32,32,32,32,32,32,32,32,32,,3,4,4,5,18,5,11,5,3,3,6.10
Lista,"['perimeter_worst', 'smoothness_se', 'texture_mean', 'texture_worst', 'fractal_dimension_worst', 'smoothness_worst']","['area_worst', 'texture_se', 'texture_worst', 'smoothness_mean']","['perimeter_worst', 'texture_se', 'symmetry_mean', 'compactness_worst', 'symmetry_worst']","['area_worst', 'texture_se', 'texture_mean', 'compactness_worst', 'fractal_dimension_worst', 'symmetry_mean', 'symmetry_se', 'compactness_mean']","['area_worst', 'texture_se', 'fractal_dimension_worst', 'concave points_se']","['perimeter_worst', 'smoothness_se', 'fractal_dimension_worst', 'smoothness_worst']","['perimeter_worst', 'fractal_dimension_mean', 'texture_mean', 'texture_worst']","['perimeter_worst', 'texture_se', 'texture_worst', 'smoothness_worst', 'concave points_se', 'symmetry_se', 'fractal_dimension_worst']","['perimeter_worst', 'smoothness_se', 'texture_worst', 'fractal_dimension_worst', 'radius_mean']","['radius_worst', 'texture_se', texture_worst', 'symmetry_worst']",1.45,,--,--,--,--,--,--,--,--,--,--,,,['texture_mean' 'perimeter_worst' 'concave points_worst'],['texture_mean' 'area_mean' 'perimeter_worst' 'symmetry_worst'],['radius_mean' 'fractal_dimension_mean' 'area_worst' 'concave points_worst'],['radius_mean' 'compactness_mean' 'texture_worst' 'perimeter_worst' 'concave points_worst'],['fractal_dimension_se' 'radius_worst' 'concave points_worst'],['smoothness_mean' 'compactness_mean' 'area_se' 'concave points_worst'],['radius_mean' 'smoothness_mean' 'concavity_mean' 'concave points_mean' 'fractal_dimension_mean' 'compactness_se' 'concavity_se' 'fractal_dimension_se' 'area_worst' 'concavity_worst' 'concave points_worst'],['radius_se' 'concavity_se' 'area_worst' 'concave points_worst' 'symmetry_worst'],['texture_mean' 'area_worst' 'fractal_dimension_worst'],['texture_mean' 'smoothness_mean' 'perimeter_worst'],4.79
,Mínimo,4,Máximo,8,,,,,,,,,,,,,,,,,,,,,Mínimo,3,Máximo,18,,,,,,,
